"merchant_id","skewness","q2","amount_avg","stdev","transactions_count_slope","amount_sum_slope","amount_dist_slope","total_block_fraud","approved_vs_block_rate","block_rate","days_up","perc_normalized","risk"
XXXXX,0.000202,3821307.0,3839489,269957330.6656433,0.001999506362468764,18777.0,-0.0000000259281902,18,2.0,0.46153999999999995,916,0.38,Bajo
XXXXX,0.0066949999999999996,264500.0,381482,52422545.174659654,-0.0019506156847768764,-966.0,-0.0000046214511041,23,1.15,0.47917,947,0.5,Bajo
XXXX,0.0034799999999999996,832500.0,908750,65723562.60054461,-0.0001034337885196,1310.0,-0.0000024882330008,77,0.77,0.39896000000000004,1111,0.55,Bajo
XXXXX,-0.013484000000000001,497500.0,409166,19653031.996785294,-0.4888915821947995,-487292.0,0.0000035714285714,3,,0.6,905,0.2,Alto 
XXXX,0.003517,225000.0,245000,17058722.109231982,-0.33402439024390246,-130270.0,-0.0000035714285714,0,,0.0,1063,0.5,Alto 
XXXX,0.006532000000000001,49800.0,174693,57359763.127498426,0.12052058600363327,18538.0,-0.0001241196423692,1022,0.12759,0.08845,1008,0.8400000000000001,Bajo
XXXX,0.01197,115600.0,667635,138355233.911776,0.003673217686009685,1303.0,-0.0000097676728664,148,0.5034,0.27925,984,0.58,Bajo
XXXXX,-0.0016980000000000003,120000.0,117392,4607420.181157131,0.0000081877495957,-1.0,0.0013,19,0.23457,0.15447,937,0.6799999999999999,Bajo
XXXX,0.012434999999999998,752700.0,1184866,104260876.33112112,0.0066486192567223375,58017.0,0.0000003767660911,0,0.0,0.0,986,0.75,Alto 
XXXXX,0.017109000000000003,50000.0,229529,31479569.12123836,-0.0034222593567796397,292.0,-0.0000056117021277,0,0.0,0.0,897,0.85,Bajo
XXXX,0.016458,260000.0,718254,83530273.05696513,0.0000636482814925,-2689.0,-0.0000022524154589,12,0.27273000000000003,0.19047999999999998,1102,0.75,Medio
XXXXX,0.0070669999999999995,1350000.0,1507142,66709926.44063015,0.042037158771328346,66574.0,0.0000019400187441,10,1.0,0.4761899999999999,942,0.48,Alto 
XXXX,0.011282999999999998,243500.0,355452,29767370.410735708,-0.0017412974421646475,-595.0,-0.0000114206896552,7,0.17949,0.11111,983,0.71,Bajo
XXXXX,0.01126,6000000.0,6883333,235352784.84295303,0.034806462114110676,401059.0,0.0000000162022035,4,0.8,0.22222,944,0.27999999999999997,Alto 
XXXX,0.012984,876300.0,1922265,241681686.03146103,0.00243633131316313,15579.0,-0.0000005878815452,33,0.825,0.40244,981,0.55,Bajo
XXXXX,-0.011185999999999998,9000000.0,7506666,400518340.6243347,-0.004104078842596821,-46263.0,0.0000005487804878,6,1.2,0.375,896,0.31,Bajo
XXX,0.005615,188000.0,239788,27668623.626791682,0.0001463294199991,-253.0,-0.0000173706896552,2,0.04651000000000001,0.035710000000000006,1321,0.8,Bajo
XXXX,0.0,400000.0,400000,,,,,0,,0.0,1250,0.0,Alto 
XXX,0.012655,300000.0,502153,47923552.43075513,0.0007229420796025,814.0,-0.0000199468707789,12,0.32432000000000005,0.19672,1316,0.7,Bajo
XXXXX,0.010061,130000.0,451142,95755977.06074092,-0.001168898296682967,-837.0,-0.0000013191937425,2,0.25,0.18181999999999998,955,0.82,Bajo
XXXXX,-0.007725,2100000.0,1939352,62387568.28463975,-0.0012074100433944184,-445.0,0.0000019298921418,9,1.28571,0.5294100000000002,938,0.41,Bajo
XXXXX,0.005985,79600.0,168935,44782429.90532881,0.0003351029006725,558.0,-0.0000430994030518,32,0.02832,0.025480000000000003,943,0.9199999999999999,Bajo
XXXXX,-0.007487999999999999,2215720.5,1854684,144638959.69856918,0.0003355395762163,1354.0,-0.0000001169285503,28,0.93333,0.41791,931,0.54,Bajo
XXXXX,0.009708999999999999,20000.0,32647,3907875.2501312313,-0.274835005689459,30107.0,-0.00009,10,2.0,0.58824,878,0.35,Alto 
XXXXX,-0.015,500000.0,420000,16000000,0.0,-28907.0,0.000005,2,2.0,0.5,854,0.25,Medio
XXXXX,-0.009541999999999998,124017.0,95403,8996620.564300798,,,-0.000005,2,0.6666700000000001,0.4,855,0.6,Alto 
XXXXX,0.01125,169000.0,254998,22932281.16679884,0.0014237539916543078,317.0,-0.0000171673964298,35,0.46667,0.28226,907,0.65,Bajo
XXXXX,0.010619,200000.0,360068,45221498.368599616,-0.0001163650762852,313.0,-0.0000128399958251,52,0.7761199999999999,0.39695,890,0.5599999999999999,Bajo
